firstName,lastName,email,phone,companyName,status,leadSource,industry,annualRevenue,numberOfEmployees,street,city,state,zipCode,country
Randy,Bass,urivera@example.com,6007444849,Brewer Inc,Qualified,Advertisement,Education,9667009,600,127 Mccarty Viaduct Apt. 761,Shermanville,Nebraska,41959,Israel
Robert,Martin,popediana@example.com,+1-323-236-0038x45564,Pope LLC,Lost,Social Media,Technology,6369668,487,4894 Robin Vista Apt. 108,Sanchezfort,Idaho,57693,Serbia
Michelle,Yates,briannajones@example.com,419.662.1034x525,Welch-Alvarez,Lost,Advertisement,Technology,66944,500,83547 Black Route Suite 701,Danielbury,California,70779,Guatemala
George,Hernandez,edgarhall@example.com,3027372878,Anderson-Duffy,Contacted,Referral,Healthcare,9541721,616,1540 Robinson Spurs,New Raymondborough,Maryland,5477,Tuvalu
Susan,Wilson,perryjesse@example.org,272-339-3311,Murphy-Garner,New,Advertisement,Finance,8130920,824,441 Lindsey Lights,Samanthaport,Missouri,61638,Qatar
Victoria,Wilson,todd86@example.com,592.426.1270,"Poole, Perez and Hernandez",Converted,Social Media,Healthcare,8655585,999,97892 Lori Ways Apt. 578,Gallagherchester,Utah,6977,Barbados
Stephanie,Peters,harrisolivia@example.org,543.888.6928x60696,"Shepherd, Fowler and Hernandez",Qualified,Referral,Finance,204702,102,230 Jacob Junctions,West Davidport,New Jersey,13491,Moldova
Joan,Mckay,ariana43@example.org,001-777-255-8720x745,"Sawyer, Russell and Galvan",Contacted,Referral,Technology,5175176,971,46185 Martha Turnpike,Jenniferbury,Virginia,91702,Liberia
Christie,Meyer,cshaw@example.com,+1-904-903-9953x80277,Ramos PLC,Contacted,Referral,Education,5495264,260,70711 Megan Park,Deckermouth,Arizona,14921,Martinique
Robert,Sutton,paulwatkins@example.com,+1-613-327-8498x916,Leonard-Kelley,Qualified,Social Media,Finance,1325011,904,36862 Robert Field Suite 645,South Michael,North Dakota,64200,Zimbabwe
Justin,Alexander,alvarezandrew@example.com,7506925528,"Ramirez, Vargas and Wright",Converted,Referral,Finance,7060843,98,48842 Matthew Harbor Suite 601,Haysfort,Vermont,98633,Guadeloupe
Martin,Mcguire,johnstonjose@example.org,(423)663-6143,"Adams, Waters and Cortez",Lost,Email Campaign,Education,6025857,478,702 Harris Unions,Mandyfort,Wyoming,32641,Gabon
David,Weaver,omendez@example.com,525.978.8877,Hill Group,Lost,Email Campaign,Technology,3224100,102,69511 William Court,Johnside,Wyoming,96359,Swaziland
Scott,Conner,butlerjessica@example.org,+1-736-880-6257x15526,Browning-Young,Contacted,Web,Education,7312898,122,68674 Benson Extension Apt. 063,Leemouth,Wisconsin,84841,Austria
Colin,Martin,dylanhawkins@example.com,9074553581,"Miller, Smith and Adams",Qualified,Social Media,Finance,8860410,639,2640 Nancy Station Apt. 962,Myersfort,Washington,68637,Korea
Annette,Watson,charlene95@example.org,(388)515-7043,Pham-James,Converted,Email Campaign,Retail,2369899,635,08761 Smith Shore Apt. 596,Kyliefurt,Missouri,12571,Niger
Julie,Mendoza,nsmith@example.org,683-850-3490,"Petersen, Gardner and White",Qualified,Email Campaign,Education,5400799,21,82353 Black Brooks,Julieshire,Arizona,92674,Sweden
Susan,Adkins,duncanchristina@example.com,001-973-837-3548x4812,Mckinney and Sons,Converted,Social Media,Retail,4928212,189,39855 Lee Summit,Ashleyport,Arkansas,35330,Mali
Melissa,Diaz,heidi57@example.com,592.663.1818x374,Johnson-Green,New,Referral,Finance,4602162,822,026 Gregory Pike,Monicaland,Idaho,98928,Madagascar
Elizabeth,Bailey,tthomas@example.net,381-551-0807x90867,Blair-Nelson,New,Web,Education,7264180,392,2846 Johnson Stream,Angelberg,Utah,5858,Algeria
Mark,Noble,kroberts@example.net,446.819.4384x5733,"Adams, Garcia and Wilson",Lost,Social Media,Healthcare,5023711,563,3093 Gonzalez Crest,Port Diana,Alabama,17605,El Salvador
Matthew,Galloway,ehernandez@example.net,623.232.1464,"Zamora, Ross and Smith",Qualified,Social Media,Education,3468524,102,932 Klein Locks,South Jerryhaven,North Dakota,84050,Australia
Kevin,Powell,mkey@example.com,001-587-601-8624x628,"Whitney, Snyder and Weiss",New,Referral,Finance,9317765,38,7364 Taylor Turnpike Apt. 559,Hollyside,Idaho,16414,Anguilla
Ronald,Palmer,stacy10@example.com,792.363.5765,"Lewis, Mendoza and Mcclure",Lost,Email Campaign,Retail,8852212,958,604 Miller Ports Apt. 649,East Jerry,Connecticut,57464,Timor-Leste
Michael,Smith,yvonnemartinez@example.com,001-314-616-8244,"Charles, Martinez and Herring",Lost,Web,Technology,9154621,544,75127 Kelly Highway Suite 983,Lake Margaret,Massachusetts,50329,Papua New Guinea
Jonathan,Jacobs,brianlawson@example.org,9327406049,Erickson-Salazar,Lost,Web,Finance,9419343,222,49178 Edwards Roads Apt. 407,Lake Steven,Pennsylvania,59385,France
Carlos,Thomas,larryfrey@example.org,+1-711-808-5621x94451,Rasmussen PLC,Qualified,Web,Technology,930773,891,414 Smith Stream,Williamview,Georgia,60682,Finland
Nathan,Rios,aaron41@example.net,(364)604-9586,Campbell Ltd,Lost,Email Campaign,Finance,5226983,462,5963 Clark Inlet,North Peterview,Nevada,19123,Comoros
Jasmine,Johnson,beltranwilliam@example.com,001-658-901-4766,Brewer and Sons,Lost,Advertisement,Healthcare,2802621,296,699 Victoria Skyway Apt. 870,New Bobbyside,Montana,57592,United States Minor Outlying Islands
Dean,Diaz,tracy19@example.com,+1-232-517-4703x6451,Collier LLC,Converted,Web,Healthcare,350078,232,6501 Cox Stravenue Apt. 251,New Rickfort,Utah,26572,Portugal
Michael,Leonard,cynthia76@example.org,248-912-0315x242,Medina-Ryan,Converted,Social Media,Education,8313656,38,28675 William Motorway Apt. 387,East Margaret,Kansas,95678,Slovenia
